,Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
0,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AE,2016,2.26607,0,A,A,5
1,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AE,2017,0.56579,0,A,A,5
2,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AG,2014,2.09878,0,A,A,5
3,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AG,2015,1.2997,0,A,A,5
4,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AG,2017,4.6852800000000006,0,A,A,5
5,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AG,2018,1.43781,0,A,A,5
6,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AI,2005,1.30758,0,A,A,5
7,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2005,21.29266,0,E,A,5
8,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2006,20.75614,0,E,A,5
9,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2007,19.0818,0,E,A,5
10,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2008,18.81958,0,E,A,5
11,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2009,18.44033,0,E,A,5
12,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2010,17.326,0,E,A,5
13,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2011,16.692529999999998,0,E,A,5
14,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2012,15.67464,0,E,A,5
15,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_ASIA_PAC,2013,15.10053,0,E,A,5
