"";"COUNTRY_ISO_3";"TIME_PERIOD";"RAW_OBS_VALUE";"_merge";"INDICATOR_NAME";"INDICATOR_INDEX";"INDICATOR_ISSUE";"INDICATOR_CATEGORY";"INDICATOR_CODE";"ATTR_SOURCE";"ATTR_SOURCE_BODY";"ATTR_INDICATOR_DESCRIPTION";"ATTR_INDICATOR_EXPLANATION";"ATTR_UNIT_MEASURE";"ATTR_DATA_EXTRACTION_METHDOLOGY";"ATTR_SOURCE_TITLE";"ATTR_API_ENDPOINT_URL";"CRBA_RELEASE_YEAR";"SCALED_OBS_VALUE";"OBS_STATUS";"SOURCE_ID"
"0";"AFG";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"1";"ALB";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"2";"AND";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"3";"DZA";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"4";"AGO";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"5";"ATG";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"6";"ARG";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"7";"ARM";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"8";"AUS";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"9";"AUT";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
