DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,REF_PERIOD:Reference Period,UNIT_MEASURE:Unit of measure,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1979-06,24.06209092,,D_PER_1000_B: Deaths per 1000 live births,13.96297543,40.88094788,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1980-06,22.37446452,,D_PER_1000_B: Deaths per 1000 live births,13.73294951,35.64732844,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1981-06,20.64548928,,D_PER_1000_B: Deaths per 1000 live births,13.20607163,31.24011775,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1982-06,18.96847557,,D_PER_1000_B: Deaths per 1000 live births,12.67124316,27.58213757,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1983-06,17.47759051,,D_PER_1000_B: Deaths per 1000 live births,12.31325425,24.25944009,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1984-06,16.20172634,,D_PER_1000_B: Deaths per 1000 live births,11.70533908,21.86737848,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1985-06,15.2708349,,D_PER_1000_B: Deaths per 1000 live births,11.24333321,20.13554768,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1986-06,14.59766646,,D_PER_1000_B: Deaths per 1000 live births,10.7888803,19.1745171,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1987-06,13.99284693,,D_PER_1000_B: Deaths per 1000 live births,10.32186511,18.38998419,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1988-06,13.43908375,,D_PER_1000_B: Deaths per 1000 live births,10.08446958,17.39755558,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1989-06,12.94586832,,D_PER_1000_B: Deaths per 1000 live births,9.935641746,16.54249866,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1990-06,12.55755424,,D_PER_1000_B: Deaths per 1000 live births,9.666776595,15.87893066,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1991-06,12.30770397,,D_PER_1000_B: Deaths per 1000 live births,9.290184393,15.73187663,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1992-06,12.23095481,,D_PER_1000_B: Deaths per 1000 live births,9.125143518,15.60267134,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1993-06,12.16665171,,D_PER_1000_B: Deaths per 1000 live births,9.29879053,15.33073914,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1994-06,12.13370943,,D_PER_1000_B: Deaths per 1000 live births,9.479239087,15.16058597,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1995-06,12.14526037,,D_PER_1000_B: Deaths per 1000 live births,9.572100874,15.11037094,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1996-06,12.17761345,,D_PER_1000_B: Deaths per 1000 live births,9.45057575,15.29212271,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1997-06,12.12635301,,D_PER_1000_B: Deaths per 1000 live births,9.326833948,15.32543978,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1998-06,12.02980844,,D_PER_1000_B: Deaths per 1000 live births,9.339805744,15.06098551,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,1999-06,11.81055614,,D_PER_1000_B: Deaths per 1000 live births,9.240917555,14.79666745,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2000-06,11.51617521,,D_PER_1000_B: Deaths per 1000 live births,9.009517677,14.49650964,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2001-06,11.14217827,,D_PER_1000_B: Deaths per 1000 live births,8.570074007,14.07656017,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2002-06,10.67243636,,D_PER_1000_B: Deaths per 1000 live births,8.159257,13.64807007,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2003-06,10.14061473,,D_PER_1000_B: Deaths per 1000 live births,7.762241878,12.99446905,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2004-06,9.555346682,,D_PER_1000_B: Deaths per 1000 live births,7.269005233,12.14909851,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2005-06,8.840766158,,D_PER_1000_B: Deaths per 1000 live births,6.732352857,11.21749254,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2006-06,8.084623874,,D_PER_1000_B: Deaths per 1000 live births,6.137836579,10.22915372,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2007-06,7.31329519,,D_PER_1000_B: Deaths per 1000 live births,5.483245087,9.216432016,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2008-06,6.587515178,,D_PER_1000_B: Deaths per 1000 live births,4.945844452,8.14478701,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2009-06,6.051166089,,D_PER_1000_B: Deaths per 1000 live births,4.616955169,7.338540828,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2010-06,5.819991267,,D_PER_1000_B: Deaths per 1000 live births,4.712649145,6.845439687,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2011-06,5.805422175,,D_PER_1000_B: Deaths per 1000 live births,4.997360785,6.620445303,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2012-06,5.860488675,,D_PER_1000_B: Deaths per 1000 live births,5.146047828,6.589960587,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRM0: Neonatal mortality rate,_T: Total,2013-06,5.890940785,,D_PER_1000_B: Deaths per 1000 live births,5.235923048,6.548207159,A: Normal value
