DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,REF_PERIOD:Reference Period,UNIT_MEASURE:Unit of measure,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1978-06,69.81169404,,D_PER_1000_B: Deaths per 1000 live births,48.12800194,98.31435916,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1979-06,64.66735559,,D_PER_1000_B: Deaths per 1000 live births,46.83102135,87.25748063,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1980-06,60.03091067,,D_PER_1000_B: Deaths per 1000 live births,45.2982149,77.84069604,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1981-06,55.69470423,,D_PER_1000_B: Deaths per 1000 live births,43.65290576,69.89498521,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1982-06,51.7245731,,D_PER_1000_B: Deaths per 1000 live births,41.82486057,63.15904037,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1983-06,48.06693651,,D_PER_1000_B: Deaths per 1000 live births,39.9854378,57.397128,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1984-06,44.85053776,,D_PER_1000_B: Deaths per 1000 live births,38.15427619,52.39924701,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1985-06,41.90792558,,D_PER_1000_B: Deaths per 1000 live births,36.16942694,48.24776572,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1986-06,39.31453973,,D_PER_1000_B: Deaths per 1000 live births,34.38741225,44.77936325,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1987-06,37.02928966,,D_PER_1000_B: Deaths per 1000 live births,32.71010903,41.85845986,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1988-06,35.04418793,,D_PER_1000_B: Deaths per 1000 live births,31.05803888,39.47681796,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1989-06,33.3057556,,D_PER_1000_B: Deaths per 1000 live births,29.57162252,37.41195761,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1990-06,31.78777343,,D_PER_1000_B: Deaths per 1000 live births,28.30860043,35.72905633,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1991-06,30.51342856,,D_PER_1000_B: Deaths per 1000 live births,27.18539402,34.25427955,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1992-06,29.33919707,,D_PER_1000_B: Deaths per 1000 live births,26.1453764,32.95534777,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1993-06,28.3128008,,D_PER_1000_B: Deaths per 1000 live births,25.15687838,31.79072819,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1994-06,27.29319666,,D_PER_1000_B: Deaths per 1000 live births,24.21831626,30.65529086,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1995-06,26.24992806,,D_PER_1000_B: Deaths per 1000 live births,23.22580483,29.54828093,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1996-06,25.19522078,,D_PER_1000_B: Deaths per 1000 live births,22.21262489,28.36116927,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1997-06,24.10375423,,D_PER_1000_B: Deaths per 1000 live births,21.20689867,27.22156844,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1998-06,22.97315164,,D_PER_1000_B: Deaths per 1000 live births,20.20224694,26.04776971,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,1999-06,21.8820325,,D_PER_1000_B: Deaths per 1000 live births,19.1788973,24.8455037,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0: Infant mortality rate,F: Female,2000-06,20.77873836,,D_PER_1000_B: Deaths per 1000 live births,18.18520419,23.67858786,A: Normal value
