DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,REF_PERIOD:Reference Period,UNIT_MEASURE:Unit of measure,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1978-06,91.10358408,,D_PER_1000_B: Deaths per 1000 live births,59.89496905,133.3909041,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1979-06,83.49446045,,D_PER_1000_B: Deaths per 1000 live births,57.8978573,116.7968804,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1980-06,76.55351778,,D_PER_1000_B: Deaths per 1000 live births,55.71970067,102.6225133,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1981-06,70.16625706,,D_PER_1000_B: Deaths per 1000 live births,53.37089052,90.61849762,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1982-06,64.52104185,,D_PER_1000_B: Deaths per 1000 live births,50.95539949,80.60757218,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1983-06,59.36276778,,D_PER_1000_B: Deaths per 1000 live births,48.3759685,72.12456725,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1984-06,54.80733915,,D_PER_1000_B: Deaths per 1000 live births,45.85630138,65.01422753,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1985-06,50.78896347,,D_PER_1000_B: Deaths per 1000 live births,43.29672676,59.29405243,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1986-06,47.29815693,,D_PER_1000_B: Deaths per 1000 live births,40.86477109,54.31091091,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1987-06,44.22827175,,D_PER_1000_B: Deaths per 1000 live births,38.64691436,50.44947688,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1988-06,41.60745302,,D_PER_1000_B: Deaths per 1000 live births,36.59146264,47.22466594,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1989-06,39.31409878,,D_PER_1000_B: Deaths per 1000 live births,34.67536166,44.59270006,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1990-06,37.40636867,,D_PER_1000_B: Deaths per 1000 live births,33.09785075,42.41843496,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1991-06,35.73218961,,D_PER_1000_B: Deaths per 1000 live births,31.63987794,40.39619954,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1992-06,34.29008246,,D_PER_1000_B: Deaths per 1000 live births,30.34373978,38.76435482,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1993-06,32.96958365,,D_PER_1000_B: Deaths per 1000 live births,29.12712676,37.19606853,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1994-06,31.68525622,,D_PER_1000_B: Deaths per 1000 live births,27.94923277,35.79698799,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1995-06,30.41876074,,D_PER_1000_B: Deaths per 1000 live births,26.76214752,34.45955098,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1996-06,29.1024315,,D_PER_1000_B: Deaths per 1000 live births,25.52278226,33.00009043,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1997-06,27.75866876,,D_PER_1000_B: Deaths per 1000 live births,24.3111768,31.55147485,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1998-06,26.41563388,,D_PER_1000_B: Deaths per 1000 live births,23.1098761,30.08955761,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,1999-06,25.08555632,,D_PER_1000_B: Deaths per 1000 live births,21.92775643,28.66915045,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2000-06,23.7490827,,D_PER_1000_B: Deaths per 1000 live births,20.7357833,27.18222844,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2001-06,22.43525888,,D_PER_1000_B: Deaths per 1000 live births,19.5940064,25.70542492,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2002-06,21.15877722,,D_PER_1000_B: Deaths per 1000 live births,18.46490613,24.24270864,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2003-06,19.91292213,,D_PER_1000_B: Deaths per 1000 live births,17.41551255,22.76646711,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2004-06,18.71697567,,D_PER_1000_B: Deaths per 1000 live births,16.41458662,21.305615,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2005-06,17.55090701,,D_PER_1000_B: Deaths per 1000 live births,15.49567183,19.83575897,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2006-06,16.39230952,,D_PER_1000_B: Deaths per 1000 live births,14.59686363,18.41843138,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2007-06,15.29830185,,D_PER_1000_B: Deaths per 1000 live births,13.75781839,17.00933699,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2008-06,14.22421175,,D_PER_1000_B: Deaths per 1000 live births,12.96217719,15.61539661,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2009-06,13.20777337,,D_PER_1000_B: Deaths per 1000 live births,12.20484642,14.31075512,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2010-06,12.24229463,,D_PER_1000_B: Deaths per 1000 live births,11.45143934,13.09504056,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2011-06,11.34021138,,D_PER_1000_B: Deaths per 1000 live births,10.72357016,12.00716376,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2012-06,10.54135713,,D_PER_1000_B: Deaths per 1000 live births,10.02722455,11.08033486,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2013-06,9.85206955,,D_PER_1000_B: Deaths per 1000 live births,9.397717587,10.31847818,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2014-06,9.312314129,,D_PER_1000_B: Deaths per 1000 live births,8.883348557,9.743369224,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2015-06,8.920873583,,D_PER_1000_B: Deaths per 1000 live births,8.501339049,9.354102571,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2016-06,8.622840147,,D_PER_1000_B: Deaths per 1000 live births,8.192771059,9.072551444,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2017-06,8.383862475,,D_PER_1000_B: Deaths per 1000 live births,7.906072162,8.899701244,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2018-06,8.202810909,,D_PER_1000_B: Deaths per 1000 live births,7.619985849,8.826792927,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1978-06,99.20211385,,D_PER_1000_B: Deaths per 1000 live births,65.77536808,145.2233164,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1979-06,91.68848353,,D_PER_1000_B: Deaths per 1000 live births,63.94985087,128.2846407,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1980-06,84.79735529,,D_PER_1000_B: Deaths per 1000 live births,61.99386531,113.4654567,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1981-06,78.46970132,,D_PER_1000_B: Deaths per 1000 live births,59.85921722,101.1516025,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1982-06,72.45349247,,D_PER_1000_B: Deaths per 1000 live births,57.2707397,90.43042419,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1983-06,67.24701291,,D_PER_1000_B: Deaths per 1000 live births,54.69128552,81.46184108,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1984-06,62.48497137,,D_PER_1000_B: Deaths per 1000 live births,52.23439463,74.1165961,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1985-06,58.27322633,,D_PER_1000_B: Deaths per 1000 live births,49.68471607,67.86833535,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1986-06,54.58540714,,D_PER_1000_B: Deaths per 1000 live births,47.18533729,62.6659151,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1987-06,51.26966708,,D_PER_1000_B: Deaths per 1000 live births,44.83500254,58.41835247,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1988-06,48.39793633,,D_PER_1000_B: Deaths per 1000 live births,42.5672993,54.80431174,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1989-06,45.93442029,,D_PER_1000_B: Deaths per 1000 live births,40.6266255,51.90546451,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1990-06,43.7654912,,D_PER_1000_B: Deaths per 1000 live births,38.80401818,49.47309414,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1991-06,41.91385032,,D_PER_1000_B: Deaths per 1000 live births,37.21877399,47.29352478,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1992-06,40.24750476,,D_PER_1000_B: Deaths per 1000 live births,35.66882361,45.37159513,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1993-06,38.68732195,,D_PER_1000_B: Deaths per 1000 live births,34.28082888,43.62824945,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1994-06,37.24416499,,D_PER_1000_B: Deaths per 1000 live births,32.88110311,41.97154301,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1995-06,35.75121341,,D_PER_1000_B: Deaths per 1000 live births,31.44053159,40.40507854,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1996-06,34.26805637,,D_PER_1000_B: Deaths per 1000 live births,30.04430413,38.76305542,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1997-06,32.69318311,,D_PER_1000_B: Deaths per 1000 live births,28.63453407,37.1050607,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1998-06,31.10754835,,D_PER_1000_B: Deaths per 1000 live births,27.23475517,35.39822878,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,1999-06,29.54033842,,D_PER_1000_B: Deaths per 1000 live births,25.79022615,33.67143524,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2000-06,28.00874115,,D_PER_1000_B: Deaths per 1000 live births,24.4413201,31.96183512,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2001-06,26.48165009,,D_PER_1000_B: Deaths per 1000 live births,23.09595109,30.32303844,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2002-06,24.97051304,,D_PER_1000_B: Deaths per 1000 live births,21.76592754,28.63035406,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2003-06,23.50669023,,D_PER_1000_B: Deaths per 1000 live births,20.53980966,26.881276,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2004-06,22.08094381,,D_PER_1000_B: Deaths per 1000 live births,19.38476945,25.15024985,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2005-06,20.67754678,,D_PER_1000_B: Deaths per 1000 live births,18.26435677,23.40258118,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2006-06,19.32364256,,D_PER_1000_B: Deaths per 1000 live births,17.22667344,21.6825942,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2007-06,17.99575775,,D_PER_1000_B: Deaths per 1000 live births,16.20517185,19.97694622,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2008-06,16.73272887,,D_PER_1000_B: Deaths per 1000 live births,15.25167376,18.3233145,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2009-06,15.49486197,,D_PER_1000_B: Deaths per 1000 live births,14.3036184,16.75431888,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2010-06,14.31654937,,D_PER_1000_B: Deaths per 1000 live births,13.40422535,15.26898733,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2011-06,13.21604968,,D_PER_1000_B: Deaths per 1000 live births,12.50888573,13.94178238,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2012-06,12.24200838,,D_PER_1000_B: Deaths per 1000 live births,11.67265792,12.83037314,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2013-06,11.42398993,,D_PER_1000_B: Deaths per 1000 live births,10.92928358,11.93242512,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2014-06,10.74213196,,D_PER_1000_B: Deaths per 1000 live births,10.28313046,11.23044621,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2015-06,10.23352532,,D_PER_1000_B: Deaths per 1000 live births,9.790907694,10.69993877,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2016-06,9.878799229,,D_PER_1000_B: Deaths per 1000 live births,9.414492694,10.36933471,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2017-06,9.625308307,,D_PER_1000_B: Deaths per 1000 live births,9.098750656,10.18373918,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2018-06,9.417395933,,D_PER_1000_B: Deaths per 1000 live births,8.775803893,10.09903315,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1978-06,95.27146537,,D_PER_1000_B: Deaths per 1000 live births,62.87027414,139.2535256,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1979-06,87.71123966,,D_PER_1000_B: Deaths per 1000 live births,60.98727308,122.5700776,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1980-06,80.80400623,,D_PER_1000_B: Deaths per 1000 live births,59.05751907,108.1869902,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1981-06,74.45574019,,D_PER_1000_B: Deaths per 1000 live births,56.81658748,95.81351764,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1982-06,68.56771618,,D_PER_1000_B: Deaths per 1000 live births,54.3449145,85.46352472,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1983-06,63.37484052,,D_PER_1000_B: Deaths per 1000 live births,51.70489816,76.75347712,A: Normal value
