DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,RESIDENCE:Residence,SEX:Sex,AGE:Current age,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MEASURE:Unit of measure,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:DM(1.0): Demography,ALB: Albania,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,33.931,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,AZE: Azerbaijan,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,166.969,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,ARM: Armenia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,41.197,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,BIH: Bosnia and Herzegovina,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,27.133,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,BGR: Bulgaria,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,62.823,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,111.433,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,HRV: Croatia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,36.837,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,CZE: Czechia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,110.414,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,EST: Estonia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,13.621,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,GEO: Georgia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,53.918,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,HUN: Hungary,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,91.611,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,KAZ: Kazakhstan,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,383.529,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,KGZ: Kyrgyzstan,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,155.317,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,LVA: Latvia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,20.512,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,LTU: Lithuania,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,29.002,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,MDA: Republic of Moldova,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,40.884,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,MNE: Montenegro,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,7.365,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,POL: Poland,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,371.158,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,ROU: Romania,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,189.143,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,RUS: Russian Federation,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,1841.607,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,SRB: Serbia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,83.192,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,SVK: Slovakia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,56.728,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,SVN: Slovenia,DM_BRTS: Number of births,_T: Total,_T: Total,_T: Total,2018,20.071,PS: Persons,3: Thousands,,,,,UNPD2019,,,,
