DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,RESIDENCE:Residence,SEX:Sex,AGE:Current age,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MEASURE:Unit of measure,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:DM(1.0): Demography,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.617,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,AZE: Azerbaijan,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,2.082,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,ARM: Armenia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.755,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,BIH: Bosnia and Herzegovina,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.265,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,BGR: Bulgaria,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.563,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.718,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,HRV: Croatia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.44,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,CZE: Czechia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.642,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,EST: Estonia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.591,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,GEO: Georgia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,2.06,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,HUN: Hungary,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.491,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,KAZ: Kazakhstan,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,2.748,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,KGZ: Kyrgyzstan,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,3.009,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,LVA: Latvia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.711,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,LTU: Lithuania,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.676,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,MDA: Republic of Moldova,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.262,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,MNE: Montenegro,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.745,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,POL: Poland,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.421,PCNT: %,0: Units,,,,,UNPD2019,,,,
