DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,ECD_DOMAIN:ECD Domain,SEX:Sex,AGE:Current age,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MOTHER_EDUCATION:Mother's Education Level,FATHER_EDUCATION:Father's Education Level,EC_EDUC_ATTND:Early Childhood Education Attendance,PLAYTHNG_TYPE:Plaything Type,INDQT_SPVN:Inadequate Supervision,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,87.1,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,M: Male,M24T59: 24 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,87.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,F: Female,M24T59: 24 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,86.5,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,Q1: Lowest,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,87.9,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,Q2: Second,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,89.6,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,Q3: Middle,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,84.4,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,Q4: Fourth,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,85.1,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,Q5: Highest,_T: Total,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,87.9,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,_T: Total,U: Urban,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,84.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
UNICEF:ECD(1.0): Early Childhood Development,KGZ: Kyrgyzstan,ECD_CHLD_36-59M_ADLT_SRC: Percentage of children (aged 36-59 months) with whom any adult household member has engaged in 4 or more activities to provide early stimulation and responsive care in the last 3 days,_T: Total,_T: Total,M24T59: 24 to 59 months old,_T: Total,R: Rural,_T: Total,_T: Total,_Z: Not disaggregated,_T: Total,_T: Total,2018,86.5,,PCNT: %,,,RP: Reported,F: Free,MICS 2018,End of fieldwork,2018,0: Not Known,
