Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,AL,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,AM,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,AZ,2018,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,BA,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,BG,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,BY,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,CZ,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,EE,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,GE,2018,1,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ADMIN,NB,L2,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,MATH,_Z,_T,_Z,_Z,W00,W00,_Z,HR,2018,1,0,A,A,5
