Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,47.97819,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,48.29246,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,49.05762,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,47.23024,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,46.97433,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,47.44003,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,47.84006,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,47.53002,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,48.60056,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,46.81886,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,46.21738,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,46.10598,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FEP,PT,L3,_T,F,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,45.90643,0,A,A,5
