Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1996,35.02260,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,39.91740,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,41.34797,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,40.87140,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,38.31133,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,32.69841,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,37.31656,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,37.89799,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,39.91732,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,39.39394,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,39.55043,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,39.16273,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,39.16376,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,38.19444,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,38.42795,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,38.81335,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2018,38.50932,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2002,36.61202,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,38.73239,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2004,44.04762,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2005,46.15385,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,59.91189,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2007,47.72727,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2008,52.80000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2009,43.96887,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2010,48.12500,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2011,45.88235,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2012,50,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2014,48.79725,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2015,57.14286,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2016,52.83381,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2017,52.29592,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),FRP,PT,L1,_T,F,_T,_T,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2018,53.46062,0,A,A,5
