Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,1.08194,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,1.13489,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,1.07729,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,1.04256,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,1.00852,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,1.03135,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,1.01198,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,1.03032,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,1.03039,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,1.03978,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2018,1.07614,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,1999,0.87424,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2000,1.03201,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2001,0.94309,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2002,1.02607,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2003,0.98582,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2004,0.93238,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2005,0.91414,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2006,0.96475,0,E,A,5
UNESCO:EDU_NON_FINANCE(3.0),NERA,GPIA,L1,_T,_T,UNDER1_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2007,1.01925,0,E,A,5
