Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,2.57132,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,3.05105,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,3.87805,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,4.02960,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,4.44627,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,4.65653,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,4.81818,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,4.98177,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,5.19261,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,5.41028,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,5.73093,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,6.45357,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2018,6.52443,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2001,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2002,0.36365,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,0.33626,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2004,0.50434,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2005,0.58362,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,1.19539,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2007,1.45564,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2008,1.08174,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2009,1.22209,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2016,1.73287,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PRP,PT,L2,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2017,1.85852,0,A,A,5
