Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,1997,22.75761,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2000,22.56784,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2001,21.75244,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2003,21.49541,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2008,19.40780,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2009,20.17793,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2010,19.70208,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2011,19.86917,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2012,19.48298,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2013,19.12103,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2014,18.92294,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2015,18.61557,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2016,18.19844,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2017,17.94478,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AL,2018,17.57287,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,1991,17.67076,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,1994,20.61326,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,1996,19.00610,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,1997,15.96615,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,1998,15.99950,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,1999,16.07076,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2001,20.34410,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2002,20.34332,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2003,18.83720,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2004,20.26241,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2005,21.19732,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2006,21.24161,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2007,19.30760,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AM,2018,15.41859,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1991,19.78412,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1992,19.81668,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1993,19.57590,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1994,18.85770,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1995,18.98289,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1996,20.16771,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1997,20.00307,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1998,19.28070,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,1999,18.77911,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),PTR,PER,L1,_T,_T,_T,_T,INST_T,_T,_Z,_T,_T,_T,_T,_Z,_Z,_T,_T,W00,W00,_Z,AZ,2000,18.68574,0,A,A,5
