Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,83161,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,87028,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,88470,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,91786,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,100082,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,106361,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,112793,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,122277,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,126300,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,132349,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,135814,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,101277,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,109893,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,118842,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,118566,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,114224,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,108585,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2018,87211,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2002,89008,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,93913,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2004,95493,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2005,94285,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,99420,0,A,A,5
