Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,83789,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,87028,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,90445,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,94609,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,104060,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,112641,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,118420,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,135323,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,143118,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,147920,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,111145,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,120651,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,131437,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C4,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,133002,0,A,A,5
