Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,2077,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,2293,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,2310,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,2364,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,1827,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,1539,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,1351,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,1417,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,1407,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,1472,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2018,1689,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2002,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2011,1077,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2013,908,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2014,1030,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2015,945,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2018,952,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,1998,0,0,A,A,5
