Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,0,0,Z,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,0,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,405,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,983,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,1716,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,5761,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,9506,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PRIV,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,13344,0,A,A,5
