Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,35902,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,38502,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,40125,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,40859,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,42160,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,43600,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,52609,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,62274,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,73031,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,81102,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,81100,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,79795,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,98917,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,107523,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,126257,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,NaN,0,X,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2018,108516,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,84839,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2014,99410,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2015,94283,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2016,98570,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2017,94415,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2018,92302,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2006,154081,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2007,156149,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2008,155458,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2009,157916,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2010,157208,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2011,159271,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2012,163790,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2013,165969,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2014,173756,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2015,180520,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2016,184840,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2017,184304,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2018,183794,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2010,87626,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2011,88153,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2012,85385,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2013,89337,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_PUB,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2014,89488,0,A,A,5
