Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1971,25469,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1972,28668,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1978,14695,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1981,14568,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1983,17500,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1984,19670,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1985,21285,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1986,21995,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1987,22403,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1988,23784,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1989,25201,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1990,25964,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1991,27461,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1992,28001,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1993,32684,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1994,30185,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1995,28331,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1996,30086,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L5T8,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1997,34257,0,A,A,5
