Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1995,99.51973,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,97.24541,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,98.38603,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,98.21509,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,99.22479,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,98.08978,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,99.18615,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,99.48943,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,99.75281,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,99.80782,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,99.08036,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,98.06952,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,98.17323,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,98.53003,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2002,98.20849,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,98.05356,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2004,99.74063,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2005,99.50317,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,99.31933,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),TRANRA,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2007,99.24635,0,A,A,5
