Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1994,3.44698,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1995,3.81464,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1996,3.08351,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1997,3.37947,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1998,3.53698,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1999,3.59293,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2000,3.43017,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2001,3.45870,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2002,3.11780,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2003,3.13824,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2004,3.22752,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2005,3.28155,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2006,3.19146,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2007,3.27593,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2013,3.53930,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2015,3.43797,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2016,3.96209,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2017,3.61025,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2018,2.46866,0,A,5,E
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,1996,1.84843,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,1999,2.23519,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2000,2.77273,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2001,2.46944,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2002,2.13504,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2003,2.14504,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2004,2.48673,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2005,2.71203,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2006,2.71577,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2007,3.01894,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2008,3.17273,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2009,3.84079,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2010,3.24900,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2011,3.14385,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2012,2.77248,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2013,2.65018,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2014,2.24724,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2015,2.80591,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2016,2.75812,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2017,2.70759,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1992,6.05797,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1995,3.33737,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1996,3.51257,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1998,3.38002,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1999,4.21214,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2000,3.85399,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2001,3.50342,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2002,3.15446,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2003,3.28615,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2004,3.44770,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2005,2.97462,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2006,2.55552,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2007,2.54928,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2008,2.44093,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2009,3.22431,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2010,2.78062,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2011,2.43564,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2012,2.06763,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GDP,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2013,2.44213,0,A,5,A
