Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AL,2013,0,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AL,2015,0,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AL,2016,0,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2008,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2009,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2010,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2011,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2012,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2013,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2014,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2015,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2016,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AM,2017,0,0,A,5,Z
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1998,2.55972,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1999,5.13014,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2000,2.23581,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2001,2.32135,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2002,2.53733,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2003,4.52460,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L4,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2004,4.40154,0,A,5,A
