Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AL,1994,10.74165,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AL,2013,21.92905,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AL,2015,21.15599,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AL,2016,19.09854,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AL,2017,18.85009,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,1996,14.94845,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2008,11.29243,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2009,9.36120,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2010,11.65396,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2011,11.29190,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2012,9.49214,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2013,10.31781,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2014,13.62262,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2015,12.68896,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2016,13.18401,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AM,2017,12.99242,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1992,11.16438,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1995,7.49753,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1996,7.30055,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1998,6.59794,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1999,6.12115,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2000,6.00557,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L5T8,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2001,6.01177,0,A,5,A
