Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AL,1994,6.21027,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,1996,16.15120,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2008,8.41691,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2009,11.30525,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2011,9.00356,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2012,10.13251,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2013,10.95400,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2015,11.76117,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2016,11.91383,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AM,2017,11.99706,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1992,14.04110,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1995,18.94856,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1996,15.82004,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1998,9.29638,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1999,8.60445,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2000,7.69985,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2001,8.15683,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2002,8.09642,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2003,7.87549,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2004,7.26960,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2005,6.85921,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2006,6.67723,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2007,6.38741,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2008,6.88676,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2009,6.76175,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2010,7.05141,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2011,6.95616,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2015,9.48292,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2016,10.48996,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2017,11.29221,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1970,13.13139,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1971,17.34084,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1972,19.13377,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1973,20.38288,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1974,22.64679,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1975,22.43581,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1976,23.39151,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1977,23.22242,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1978,24.85680,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1979,26.09656,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1980,24.08655,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1990,22.14972,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1991,20.16830,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1992,23.39298,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1993,22.78840,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L02,_T,_T,_T,GOV,_T,_Z,_Z,BG,1994,21.55011,0,A,5,A
