Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AL,1994,54.80033,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AL,2015,56.76693,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AL,2017,57.60767,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AM,2012,18.67795,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AM,2013,20.11078,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AM,2015,19.35930,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AM,2016,20.66574,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,AM,2017,19.37351,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,1998,22.93800,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2001,20.78723,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2002,20.09847,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2003,19.10566,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2004,19.49264,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2005,20.29997,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2006,19.71527,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2007,19.87313,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2008,18.92772,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2009,18.60716,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2010,19.58745,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2011,18.50048,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2012,18.62869,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,BG,2013,19.69638,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,1993,42.93384,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,1994,16.14596,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,1995,17.54028,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,1996,20.53836,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,1998,17.28200,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,1999,17.91990,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2000,18.18888,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2001,16.76988,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2002,16.08467,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2003,15.71172,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2004,15.18484,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2005,14.52153,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2006,13.56469,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2007,13.88772,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2008,14.70676,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2009,15.91159,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2010,16.17658,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2011,16.08905,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2012,16.77759,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2013,17.75912,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2014,18.63894,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2015,13.28089,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,CZ,2016,13.23953,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,EE,1997,25.47126,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_EDU,L1,_T,_T,_T,GOV,_T,_Z,_Z,EE,1998,25.19590,0,A,5,A
