Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1997,11.15339,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1998,9.62407,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1999,9.68246,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2000,10.13703,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2001,10.58193,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2002,9.88692,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2003,10.57360,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2004,10.70316,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2005,11.35797,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2006,10.93295,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2007,11.17719,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2013,12.12391,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2015,11.31770,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2016,13.59696,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2017,12.39080,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2018,8.43546,0,A,5,E
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2005,13.64809,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2006,13.57852,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2007,13.46559,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,GOV_EXP_T,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2008,14.26845,0,A,5,A
