Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SECTOR_EDU,EXPENDITURE_TYPE,SOURCE_FUND,FUND_FLOW,TEACH_EXPERIENCE,CONTRACT_TYPE,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,FREQ,DECIMALS,OBS_STATUS
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1994,438.69234,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1995,550.16168,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1996,485.18449,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1997,473.68560,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1998,539.53912,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,1999,618.72018,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2000,631.74661,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2001,689.80787,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2002,650.04908,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2003,690.49313,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2004,749.26723,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2005,803.93652,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2006,827.99720,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2007,900.73616,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2013,1177.78471,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2015,1190.27828,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2016,1417.68980,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2017,1341.35754,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AL,2018,953.93872,0,A,5,E
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,1996,150.54023,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,1999,208.47388,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2000,273.86793,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2001,267.22163,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2002,261.50040,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2003,299.61462,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2004,383.69997,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2005,476.48518,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2006,540.11565,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2007,682.96329,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2008,767.27893,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2009,797.40993,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2010,689.38369,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2011,698.42505,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2012,660.26950,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2013,651.97179,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2014,572.74668,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2015,738.01654,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2016,726.89868,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AM,2017,767.10023,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1992,3223.36653,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1995,967.15862,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1996,1031.16532,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1998,1154.78364,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,1999,1545.57002,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2000,1571.12450,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2001,1569.60118,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2002,1546.65568,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2003,1775.70414,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2004,2035.39930,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2005,2247.13981,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2006,2595.92153,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2007,3248.97680,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2008,3440.36916,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2009,4970.30289,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2010,4491.62409,0,A,5,A
UNESCO:EDU_FINANCE(1.0),EDU_EXP,PPP_CONST,_T,_T,_T,_T,GOV,_T,_Z,_Z,AZ,2011,3872.47460,0,A,5,A
