Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,1998,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,1999,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2000,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2001,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2002,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2003,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2004,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2005,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2006,0,0,A,A,5
UNESCO:SDG4(2.0),COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2007,0,0,A,A,5
