Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2013,28.42535,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2014,25.84010,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2015,24.00175,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2016,22.05633,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2017,20.78699,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2018,23.51306,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AM,2018,6.27090,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2014,17.48490,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2015,18.08674,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2016,18.29618,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2018,18.99607,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2014,17.42713,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2015,17.62064,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2016,17.49958,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2017,17.47322,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2018,17.03594,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,KZ,2014,9.34928,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2013,12.70262,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2014,12.74439,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2015,12.13654,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2016,11.91951,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2017,11.91148,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2018,11.64035,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,TJ,2014,15.80393,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,TJ,2015,16.12047,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,TJ,2016,19.44717,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,TJ,2017,20.15958,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2012,9.96372,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2014,10.27654,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2015,11.12031,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2016,11.12509,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2017,11.57645,0,A,A,5
UNESCO:SDG4(2.0),PQTR,PER,L02,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2018,11.58494,0,A,A,5
