Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2007,0.92330,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2008,1.22592,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2009,0.79617,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2010,0.90214,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2016,1.07368,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2006,0.88360,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2007,0.89169,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2008,1.06196,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2010,0.91008,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2011,0.98997,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2012,1.05593,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BA,2016,0.95506,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BG,2007,0.92348,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BG,2011,0.89455,0,A,A,5
UNESCO:SDG4(2.0),PRYA,GPI,_T,_T,_T,Y_GE15,_T,_Z,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BG,2016,1.00810,0,A,A,5
