Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2018,17.64615,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2016,7.57430,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2017,6.72154,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2018,7.00792,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2013,7.86158,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2014,8.12136,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2015,8.42091,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2016,8.33856,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2017,8.36422,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2018,8.52851,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2000,11.08648,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2008,7.51473,0,A,A,5
UNESCO:SDG4(2.0),PTTR,PER,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2009,8.00392,0,E,A,5
