Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2013,68.22726,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2014,72.47414,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2015,75.47188,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2016,80.28783,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2017,84.12193,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AL,2018,83.61617,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AM,2018,100,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2016,100,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2017,99.95928,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2018,99.91497,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2014,99.43707,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2015,99.76395,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2016,100,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2017,100,0,A,A,5
UNESCO:SDG4(2.0),QUTP,PT,L1,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2018,100,0,A,A,5
