Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,AL,2018,7.13755,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,KZ,2017,8.99199,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,KZ,2018,11.98026,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,LV,2016,17.29428,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,SK,2014,21.40000,0,E,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,SK,2015,21.50000,0,E,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,SK,2016,21.20000,0,E,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,UA,2016,78.52408,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,UA,2017,77.25029,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,UA,2018,78.63785,0,A,A,5
UNESCO:SDG4(2.0),SCH,PT,L2,_T,_T,_T,_T,INST_T,_Z,_T,_Z,ADAPT_INFR_MAT_DIS,_T,_T,_T,_Z,_Z,_Z,UZ,2017,12.96622,0,A,A,5
