Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,1995,73.00099,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,2007,58.56877,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,2011,71.79266,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,2015,78.41877,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,GE,2007,35.22814,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,GE,2011,41.25604,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,GE,2015,47.26423,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LV,1995,58.47440,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LV,2003,80.84263,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LV,2007,80.67361,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,PL,2011,55.64512,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,PL,2015,79.82846,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,MATH,_Z,_Z,_T,_T,_T,_Z,_Z,_T,RO,2011,57.02513,0,A,A,5
