Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,2001,97.27002,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,2011,98.25079,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,CZ,2016,97.03947,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,GE,2006,82.02211,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,GE,2011,86.48549,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,GE,2016,86.47637,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LV,2001,98.54787,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LV,2006,98.21378,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LV,2016,99.19672,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,G2_3,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,MK,2001,66.67203,0,A,A,5
