Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,AZ,2011,81.85957,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,AZ,2016,80.78633,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,BG,2001,95.04930,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,BG,2006,94.76472,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,BG,2011,93.04844,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,BG,2016,94.78671,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,HR,2011,98.99943,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,HU,2001,97.54714,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,HU,2006,97.43173,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,HU,2011,94.64100,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,HU,2016,97.13811,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,KG,2014,36.20000,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,KZ,2016,98.09229,0,A,A,5
UNESCO:SDG4(2.0),STU,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,READING,_Z,_Z,_T,_T,_T,_Z,_Z,_T,LT,2001,98.01030,0,A,A,5
