Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2018,71.89347,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2013,90.00259,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2014,91.14990,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2015,91.46547,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2016,91.40575,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2017,91.60088,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2018,91.54911,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2000,92.97521,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2008,95.25217,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2009,94.83919,0,E,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,1999,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2000,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2001,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2002,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2003,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2016,97.11469,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2017,98.85642,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2018,98.97647,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2007,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,TJ,2003,94.34525,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2017,93.43234,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,_T,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2018,90.39238,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2018,74.29099,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2013,90.95771,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2014,91.95834,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2015,92.23427,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2016,92.02342,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2017,92.52941,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2018,92.51403,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2000,92.55237,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2009,95.21233,0,E,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,1999,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2000,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2001,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2002,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2003,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2016,96.65005,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2017,99.17802,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2018,99.35856,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2007,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2017,94.16087,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,F,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2018,90.98302,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,AZ,2018,65.51760,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2013,86.95989,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2014,88.51800,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2015,88.96640,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2016,89.39612,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2017,88.64000,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,BY,2018,88.48678,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2000,94.28633,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,GE,2009,92.71831,0,E,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,1999,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2000,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2001,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2002,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,HR,2003,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2016,98.35282,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2017,97.96772,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,MD,2018,98.02033,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,RS,2007,100,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2017,92.60090,0,A,A,5
UNESCO:SDG4(2.0),TRTP,PT,L3,_T,M,_T,_T,INST_T,_Z,_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,UZ,2018,89.73689,0,A,A,5
