DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,DATA_SOURCE:Data Source,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,BGR: Bulgaria,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,BIH: Bosnia and Herzegovina,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,BLR: Belarus,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,CZE: Czechia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,EST: Estonia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,GEO: Georgia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,HRV: Croatia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,HUN: Hungary,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,KAZ: Kazakhstan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,KGZ: Kyrgyzstan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,LTU: Lithuania,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,LVA: Latvia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,MDA: Republic of Moldova,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,MKD: North Macedonia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,MNE: Montenegro,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,POL: Poland,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,ROU: Romania,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,RUS: Russian Federation,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,SRB: Serbia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,SVK: Slovakia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,SVN: Slovenia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,TJK: Tajikistan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,TUR: Turkey,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,Yes,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,UKR: Ukraine,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
UNICEF:GENDER(1.0): Gender,UZB: Uzbekistan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,2018,No,,,BINARY: Binary,World Bank Women Business and the Law,,A: Normal value,,,
