DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,VACCINE:Vaccine,AGE:Current age,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:IMMUNISATION(1.0): Immunisation,ARM: Armenia,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y03: 3 years old,2000,94,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,ARM: Armenia,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y03: 3 years old,2001,96,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,ARM: Armenia,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y03: 3 years old,2002,95,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2000,83,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2001,85,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2002,79,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2003,89,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2004,91,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2005,92,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
UNICEF:IMMUNISATION(1.0): Immunisation,BGR: Bulgaria,"IM_MCV2: Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",MCV2: Measles second dose,Y12: 12 years old,2006,93,0: Units,PCNT: %,,,E: Estimated value,F: Free,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,
