DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,AGE_AT_BIRTH:Age at Birth,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MOTHER_EDUCATION:Mother's Education Level,DATA_SOURCE:Data Source,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SERIES_FOOTNOTE:Series footnote,SUB_SECTOR:Sub Sector,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,OBS_FOOTNOTE:Observation footnote,SOURCE_LINK:Citation of or link to the data source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,83.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,53.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,28.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,45.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,61.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,32.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,36.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,25.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,56.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,30.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,56.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_128: Demographic and Health Survey 2008-2009,2009,69.6,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,73.8,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,ISCED11_1: Primary education,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,75.5,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,AGG_3S_H: Secondary and Higher,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,89.7,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
