DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,AGE:Current age,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MATERNAL_EDU_LVL:Mother's Education Level,HEAD_OF_HOUSE:Head of House,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,CUSTODIAN:Custodian,INDICATOR_DEFINITION:Indicator Definition,NUMERATOR_DEFINITION:Numerator Definition,DENOMINATOR_DEFINITION:Denominator Definition,PUBLICATION_DATE:Date of Publication,DATA_SOURCE:Data Source,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,STD_ERR:Standard Error,WGTD_SAMPL_SIZE:Weighted Sample Size,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2000,40.0,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,RA: Reanalysed,F: Free,28.9,52.2,6.0,91.5,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2005,25.2,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,RA: Reanalysed,F: Free,17.0,35.7,4.8,80.7,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2009,36.0,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,RA: Reanalysed,F: Free,25.2,48.5,6.0,92.7,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2017,8.8,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,RA: Reanalysed,F: Free,5.1,14.7,2.4,247.1,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T23: 0 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2000,39.2,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,RA: Reanalysed,F: Free,31.7,47.3,4.0,199.3,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T23: 0 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2005,21.9,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,RA: Reanalysed,F: Free,16.2,29.0,3.3,159.9,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T23: 0 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2009,31.6,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,RA: Reanalysed,F: Free,25.0,39.0,3.6,217.6,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T23: 0 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2017,10.0,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,RA: Reanalysed,F: Free,7.0,14.1,1.8,453.0,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T5: 0 to 5 months old,_T: Total,_T: Total,_T: Total,_T: Total,2000,43.5,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,RA: Reanalysed,F: Free,29.9,58.2,7.4,59.4,Middle of Fieldwork,1997-2017,0: Not Known,
UNICEF:NUTRITION(1.0): Nutrition,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,M0T5: 0 to 5 months old,_T: Total,_T: Total,_T: Total,_T: Total,2005,26.6,0: Units,PCNT: %,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,UNICEF Division of Data  Analysis  Planning and Monitoring,,,,,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,RA: Reanalysed,F: Free,15.8,41.1,6.5,47.3,Middle of Fieldwork,1997-2017,0: Not Known,
