Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1979-06,24.06209092,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1980-06,22.37446452,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1981-06,20.64548928,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1982-06,18.96847557,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1983-06,17.47759051,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1984-06,16.20172634,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1985-06,15.2708349,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1986-06,14.59766646,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1987-06,13.99284693,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1988-06,13.43908375,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1989-06,12.94586832,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1990-06,12.55755424,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1991-06,12.30770397,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1992-06,12.23095481,D_PER_1000_B,,,Helix: CME_MRM0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRM0,_T,_T,_T,_T,1993-06,12.16665171,D_PER_1000_B,,,Helix: CME_MRM0,,A
