Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1978-06,69.81169404,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1979-06,64.66735559,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1980-06,60.03091067,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1981-06,55.69470423,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1982-06,51.7245731,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1983-06,48.06693651,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1984-06,44.85053776,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1985-06,41.90792558,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1986-06,39.31453973,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1987-06,37.02928966,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1988-06,35.04418793,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1989-06,33.3057556,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1990-06,31.78777343,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1991-06,30.51342856,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1992-06,29.33919707,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1993-06,28.3128008,D_PER_1000_B,,,Helix: CME_MRY0,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0,F,_T,_T,_T,1994-06,27.29319666,D_PER_1000_B,,,Helix: CME_MRY0,,A
