Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1978-06,91.10358408,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1979-06,83.49446045,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1980-06,76.55351778,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1981-06,70.16625706,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1982-06,64.52104185,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1983-06,59.36276778,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1984-06,54.80733915,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1985-06,50.78896347,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1986-06,47.29815693,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1987-06,44.22827175,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1988-06,41.60745302,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1989-06,39.31409878,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1990-06,37.40636867,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1991-06,35.73218961,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1992-06,34.29008246,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1993-06,32.96958365,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1994-06,31.68525622,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1995-06,30.41876074,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1996-06,29.1024315,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1997-06,27.75866876,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1998-06,26.41563388,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,1999-06,25.08555632,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2000-06,23.7490827,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2001-06,22.43525888,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2002-06,21.15877722,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2003-06,19.91292213,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2004-06,18.71697567,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2005-06,17.55090701,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2006-06,16.39230952,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2007-06,15.29830185,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2008-06,14.22421175,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2009-06,13.20777337,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2010-06,12.24229463,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2011-06,11.34021138,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2012-06,10.54135713,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2013-06,9.85206955,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2014-06,9.312314129,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2015-06,8.920873583,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2016-06,8.622840147,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2017-06,8.383862475,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,F,_T,_T,_T,2018-06,8.202810909,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1978-06,99.20211385,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1979-06,91.68848353,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1980-06,84.79735529,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1981-06,78.46970132,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1982-06,72.45349247,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1983-06,67.24701291,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1984-06,62.48497137,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1985-06,58.27322633,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1986-06,54.58540714,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1987-06,51.26966708,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1988-06,48.39793633,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1989-06,45.93442029,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1990-06,43.7654912,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1991-06,41.91385032,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1992-06,40.24750476,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1993-06,38.68732195,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1994-06,37.24416499,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1995-06,35.75121341,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1996-06,34.26805637,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1997-06,32.69318311,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1998-06,31.10754835,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,1999-06,29.54033842,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2000-06,28.00874115,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2001-06,26.48165009,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2002-06,24.97051304,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2003-06,23.50669023,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2004-06,22.08094381,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2005-06,20.67754678,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2006-06,19.32364256,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2007-06,17.99575775,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2008-06,16.73272887,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2009-06,15.49486197,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2010-06,14.31654937,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2011-06,13.21604968,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2012-06,12.24200838,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2013-06,11.42398993,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2014-06,10.74213196,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2015-06,10.23352532,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2016-06,9.878799229,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2017-06,9.625308307,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,M,_T,_T,_T,2018-06,9.417395933,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,_T,_T,_T,_T,1978-06,95.27146537,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
ECARO:TRANSMONEE(1.0),ALB,CME_MRY0T4,_T,_T,_T,_T,1979-06,87.71123966,D_PER_1000_B,,,Helix: CME_MRY0T4,,A
