Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,DM_BRTS,_T,_T,_T,_T,2018,33.931,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),AZE,DM_BRTS,_T,_T,_T,_T,2018,166.969,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),ARM,DM_BRTS,_T,_T,_T,_T,2018,41.197,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),BIH,DM_BRTS,_T,_T,_T,_T,2018,27.133,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),BGR,DM_BRTS,_T,_T,_T,_T,2018,62.823,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),BLR,DM_BRTS,_T,_T,_T,_T,2018,111.433,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),HRV,DM_BRTS,_T,_T,_T,_T,2018,36.837,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),CZE,DM_BRTS,_T,_T,_T,_T,2018,110.414,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),EST,DM_BRTS,_T,_T,_T,_T,2018,13.621,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),GEO,DM_BRTS,_T,_T,_T,_T,2018,53.918,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),HUN,DM_BRTS,_T,_T,_T,_T,2018,91.611,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),KAZ,DM_BRTS,_T,_T,_T,_T,2018,383.529,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),KGZ,DM_BRTS,_T,_T,_T,_T,2018,155.317,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),LVA,DM_BRTS,_T,_T,_T,_T,2018,20.512,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),LTU,DM_BRTS,_T,_T,_T,_T,2018,29.002,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),MDA,DM_BRTS,_T,_T,_T,_T,2018,40.884,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),MNE,DM_BRTS,_T,_T,_T,_T,2018,7.365,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),POL,DM_BRTS,_T,_T,_T,_T,2018,371.158,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),ROU,DM_BRTS,_T,_T,_T,_T,2018,189.143,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),RUS,DM_BRTS,_T,_T,_T,_T,2018,1841.607,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),SRB,DM_BRTS,_T,_T,_T,_T,2018,83.192,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),SVK,DM_BRTS,_T,_T,_T,_T,2018,56.728,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),SVN,DM_BRTS,_T,_T,_T,_T,2018,20.071,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),TJK,DM_BRTS,_T,_T,_T,_T,2018,279.638,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),TUR,DM_BRTS,_T,_T,_T,_T,2018,1312.837,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),TKM,DM_BRTS,_T,_T,_T,_T,2018,139.075,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),UKR,DM_BRTS,_T,_T,_T,_T,2018,421.386,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),MKD,DM_BRTS,_T,_T,_T,_T,2018,22.506,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),UZB,DM_BRTS,_T,_T,_T,_T,2018,696.451,PS,,,UNPD2019,3,
