Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,DM_LIFE_EXP,_T,_T,_T,_T,1970,66.935,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ALB,DM_LIFE_EXP,_T,_T,_T,_T,2000,73.955,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ALB,DM_LIFE_EXP,_T,_T,_T,_T,2018,78.458,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),AZE,DM_LIFE_EXP,_T,_T,_T,_T,1970,63.141,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),AZE,DM_LIFE_EXP,_T,_T,_T,_T,2000,66.763,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),AZE,DM_LIFE_EXP,_T,_T,_T,_T,2018,72.864,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ARM,DM_LIFE_EXP,_T,_T,_T,_T,1970,70.144,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ARM,DM_LIFE_EXP,_T,_T,_T,_T,2000,71.409,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ARM,DM_LIFE_EXP,_T,_T,_T,_T,2018,74.945,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BIH,DM_LIFE_EXP,_T,_T,_T,_T,1970,66.187,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BIH,DM_LIFE_EXP,_T,_T,_T,_T,2000,74.403,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BIH,DM_LIFE_EXP,_T,_T,_T,_T,2018,77.262,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BGR,DM_LIFE_EXP,_T,_T,_T,_T,1970,71.04,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BGR,DM_LIFE_EXP,_T,_T,_T,_T,2000,71.501,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BGR,DM_LIFE_EXP,_T,_T,_T,_T,2018,74.928,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BLR,DM_LIFE_EXP,_T,_T,_T,_T,1970,70.549,YR,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BLR,DM_LIFE_EXP,_T,_T,_T,_T,2000,67.364,YR,,,UNPD2019,0,
