Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,DM_POP_URBN,_T,_T,_T,_T,2018,60.319,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),AZE,DM_POP_URBN,_T,_T,_T,_T,2018,55.68,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),ARM,DM_POP_URBN,_T,_T,_T,_T,2018,63.149,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),BIH,DM_POP_URBN,_T,_T,_T,_T,2018,48.245,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),BGR,DM_POP_URBN,_T,_T,_T,_T,2018,75.008,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),BLR,DM_POP_URBN,_T,_T,_T,_T,2018,78.595,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),HRV,DM_POP_URBN,_T,_T,_T,_T,2018,56.947,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),CZE,DM_POP_URBN,_T,_T,_T,_T,2018,73.792,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),EST,DM_POP_URBN,_T,_T,_T,_T,2018,68.88,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),GEO,DM_POP_URBN,_T,_T,_T,_T,2018,58.632,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),HUN,DM_POP_URBN,_T,_T,_T,_T,2018,71.351,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),KAZ,DM_POP_URBN,_T,_T,_T,_T,2018,57.428,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),KGZ,DM_POP_URBN,_T,_T,_T,_T,2018,36.351,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),LVA,DM_POP_URBN,_T,_T,_T,_T,2018,68.142,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),LTU,DM_POP_URBN,_T,_T,_T,_T,2018,67.679,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),MDA,DM_POP_URBN,_T,_T,_T,_T,2018,42.629,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),MNE,DM_POP_URBN,_T,_T,_T,_T,2018,66.813,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),POL,DM_POP_URBN,_T,_T,_T,_T,2018,60.058,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),ROU,DM_POP_URBN,_T,_T,_T,_T,2018,53.998,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),RUS,DM_POP_URBN,_T,_T,_T,_T,2018,74.433,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),SRB,DM_POP_URBN,_T,_T,_T,_T,2018,56.092,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),SVK,DM_POP_URBN,_T,_T,_T,_T,2018,53.726,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),SVN,DM_POP_URBN,_T,_T,_T,_T,2018,54.541,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),TJK,DM_POP_URBN,_T,_T,_T,_T,2018,27.134,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),TUR,DM_POP_URBN,_T,_T,_T,_T,2018,75.143,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),TKM,DM_POP_URBN,_T,_T,_T,_T,2018,51.593,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),UKR,DM_POP_URBN,_T,_T,_T,_T,2018,69.352,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),MKD,DM_POP_URBN,_T,_T,_T,_T,2018,57.963,PS,,,UNPD2019,3,
ECARO:TRANSMONEE(1.0),UZB,DM_POP_URBN,_T,_T,_T,_T,2018,50.478,PS,,,UNPD2019,3,
