Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,_T,2018,87.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,M,M24T59,_T,_T,2018,87.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,F,M24T59,_T,_T,2018,86.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q1,2018,87.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q2,2018,89.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q3,2018,84.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q4,2018,85.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q5,2018,87.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,U,_T,2018,84.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,R,_T,2018,86.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,_T,2018,90.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,M,M24T59,_T,_T,2018,90.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,F,M24T59,_T,_T,2018,90.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q1,2018,68.8,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q2,2018,97.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q3,2018,88.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q4,2018,97.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q5,2018,99.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,U,_T,2018,90.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,R,_T,2018,92.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,_T,2018,77.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,M,M24T59,_T,_T,2018,78.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,F,M24T59,_T,_T,2018,76.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q1,2018,67.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q2,2018,77.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q3,2018,73.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q4,2018,82.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,_T,Q5,2018,84.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,U,_T,2018,79.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_ADLT_SRC,_T,M24T59,R,_T,2018,74.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,_T,2018,77.8,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,M,M36T59,_T,_T,2018,75.3,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,F,M36T59,_T,_T,2018,80.3,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q1,2018,57.1,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q2,2018,77,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q3,2018,83.5,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q4,2018,92.5,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q5,2018,87.9,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,U,_T,2018,83.7,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),ALB,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,R,_T,2018,70.7,PCNT,,0,DHS 2017-18,,RA
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,_T,2012,95.7,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,M,M36T59,_T,_T,2012,94.4,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,F,M36T59,_T,_T,2012,97,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q1,2012,90.3,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q2,2012,96.1,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q3,2012,95.2,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q4,2012,95.1,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,Q5,2012,99,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,U,_T,2012,97,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BLR,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,R,_T,2012,92.4,PCNT,,0,MICS 2012,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_ADLT_SRC,_T,M36T59,_T,_T,2012,95.1,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_ADLT_SRC,M,M36T59,_T,_T,2012,94.7,PCNT,,0,MICS 2011-12,,RP
