Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,96.4,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,25.1,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,99.6,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,95.3,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,99.1,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,M,M36T59,_T,_T,2012,95.3,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,F,M36T59,_T,_T,2012,97.6,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q1,2012,95.2,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q2,2012,97.8,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q3,2012,96.3,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q4,2012,98.4,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q5,2012,94.4,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,U,_T,2012,97.7,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,R,_T,2012,95.8,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,96.5,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,96.5,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,92.8,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),BIH,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2012,97,PCNT,,0,MICS 2011-12,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2015,88.4,PCNT,,0,WMS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2015,85.5,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2015,27.7,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2015,98.3,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2015,82.1,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,_T,2015,97.2,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,M,M36T59,_T,_T,2015,84.8,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,F,M36T59,_T,_T,2015,86.3,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q1,2015,87.2,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q2,2015,82.4,PCNT,,0,MICS 2015,,RP
ECARO:TRANSMONEE(1.0),KAZ,ECD_CHLD_36-59M_LMPSL,_T,M36T59,_T,Q3,2015,83.2,PCNT,,0,MICS 2015,,RP
