Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,7.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,M,Y0T4,_T,_T,2018,7.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,F,Y0T4,_T,_T,2018,8.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q1,2018,11,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q2,2018,8.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q3,2018,7.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q4,2018,5.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q5,2018,5.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,U,_T,2018,5.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,R,_T,2018,9.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,7.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,1.7,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),KGZ,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,6.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,3.8,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,M,Y0T4,_T,_T,2018,3,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,F,Y0T4,_T,_T,2018,4.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q1,2018,4.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q2,2018,4.8,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q3,2018,5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q4,2018,2.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q5,2018,2.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,U,_T,2018,3.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,R,_T,2018,4.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,5.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,3.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,1.3,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),GEO,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,3.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,4.6,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,M,Y0T4,_T,_T,2018,4.2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,F,Y0T4,_T,_T,2018,5.1,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q1,2018,5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q2,2018,2,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q3,2018,4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q4,2018,8.9,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,Q5,2018,2.4,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,U,_T,2018,4.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,R,_T,2018,4.8,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,4.9,PCNT,Refers to primary or less,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,4.5,PCNT,,0,MICS 2018,,RP
ECARO:TRANSMONEE(1.0),MNE,ECD_CHLD_U5_LFT-ALN,_T,Y0T4,_T,_T,2018,2,PCNT,,0,MICS 2018,,RP
