Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,0,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,0,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,0,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HR,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,0,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),KG,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),KZ,EDUNF_ADMIN_GLAST_READING,_T,_T,_T,_T,2018,1,NUMBER,,A,UIS: EDUNF_ADMIN_GLAST_READING,0,A
