Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_CR_L1,_T,_T,_T,_T,2000,95.19000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_CR_L1,_T,_T,_T,_T,2005,98.91000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_CR_L1,_T,_T,_T,_T,2009,98.19074,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_CR_L1,_T,_T,_T,_T,2017,94.95685,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_CR_L1,_T,_T,_T,_T,2000,99.05000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_CR_L1,_T,_T,_T,_T,2006,99.45461,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_CR_L1,_T,_T,_T,_T,2011,99.87504,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_CR_L1,_T,_T,_T,_T,2016,99.26774,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_CR_L1,_T,_T,_T,_T,2000,97.06000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_CR_L1,_T,_T,_T,_T,2006,97.94220,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_CR_L1,_T,_T,_T,_T,2000,99.25000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_CR_L1,_T,_T,_T,_T,2006,99.20000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_CR_L1,_T,_T,_T,_T,2012,99.73966,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_CR_L1,_T,_T,_T,_T,2005,99.83000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_CR_L1,_T,_T,_T,_T,2012,99.76952,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_CR_L1,_T,_T,_T,_T,2005,98.27000,PCNT,,A,UIS: EDUNF_CR_L1,0,A
ECARO:TRANSMONEE(1.0),KG,EDUNF_CR_L1,_T,_T,_T,_T,2006,99.59791,PCNT,,A,UIS: EDUNF_CR_L1,0,A
