Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,1995,3.98758,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2000,7.86035,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2006,6.86288,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2007,8.26532,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2008,9.09050,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2009,6.22700,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2010,4.32404,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2011,2.61282,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2012,0.61597,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2013,1.70974,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2014,3.72322,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2016,5.50610,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_DR_L2,_T,_T,_T,_T,2017,5.69480,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2002,7.73780,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2003,5.69300,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2004,1.35873,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2005,1.66038,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2006,2.86906,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2007,5.01361,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2008,2.93751,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2016,5.47933,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_DR_L2,_T,_T,_T,_T,2017,5.11281,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,1993,10.91967,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,1996,16.30455,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,1999,8.98705,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2000,7.34721,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2001,6.32872,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2002,6.69355,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2003,3.64919,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2004,5.18015,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2005,3.37533,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2006,2.98703,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2007,2.70075,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2008,4.34181,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2009,5.32968,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2010,4.85111,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2011,3.74863,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2012,3.17673,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2013,4.11804,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2014,2.72824,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2015,3.98078,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2016,5.70309,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_DR_L2,_T,_T,_T,_T,2017,3.58357,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2009,3.12368,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2010,2.14809,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2011,1.34785,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2012,2.09278,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2013,1.83196,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2014,3.22900,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2015,3.55149,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2016,4.02464,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_DR_L2,_T,_T,_T,_T,2017,5.02731,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_DR_L2,_T,_T,_T,_T,1971,16.68071,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_DR_L2,_T,_T,_T,_T,1972,14.95204,PCNT,,A,UIS: EDUNF_DR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_DR_L2,_T,_T,_T,_T,1973,13.01622,PCNT,,A,UIS: EDUNF_DR_L2,0,A
