Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,1996,12504.36180,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2001,6765.58760,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2004,5682.77258,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2007,3017.57136,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2008,3173.57134,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2009,2461.73138,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2010,2005.99290,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2011,840.58713,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2012,467.49197,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2013,508.04348,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2014,471.45913,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2015,1552.18123,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2016,3843.85958,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2017,2374.14057,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ESL_L1,_T,_T,_T,_T,2018,2626.36919,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,1997,0,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2003,1874.88729,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2004,1512.58904,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2005,544.21912,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2006,596.68582,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2010,1083.53379,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2011,1467.24869,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2012,2076.90521,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2014,3620.26362,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2015,275.15193,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2016,2124.43072,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2017,2589.68301,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ESL_L1,_T,_T,_T,_T,2018,2176.58087,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,1993,4020.93297,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,1994,4459.43889,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,1996,2489.60177,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,1998,11582.40972,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,1999,4478.25571,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2000,5249.64501,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2001,6683.67724,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2002,5037.68185,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2003,4967.27637,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2004,3129.02982,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2005,2702.62847,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2006,3845.74414,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2007,1552.94296,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2008,869.55295,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2009,1895.33509,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2010,4313.88694,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2011,3351.11564,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2012,2276.68643,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2013,1613.06022,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2014,3773.69170,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2015,3617.07193,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2016,1794.54538,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2017,8973.79881,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ESL_L1,_T,_T,_T,_T,2018,9209.62321,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2010,452.80011,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2011,6518.08780,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2012,5510.89516,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2013,5487.58758,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2014,4316.10625,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2015,995.00837,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2016,1465.41737,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2017,532.81417,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_ESL_L1,_T,_T,_T,_T,2018,1890.18674,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1972,5832.05832,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1973,5465.89278,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1974,4920.75271,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1975,5350.60570,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1976,5603.56274,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1977,5963.96946,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1978,4234.18994,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1979,7013.03342,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1980,4326.64415,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1981,3698.76250,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1982,5016.28456,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1983,4087.99398,PS,,A,UIS: EDUNF_ESL_L1,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ESL_L1,_T,_T,_T,_T,1984,4865.98725,PS,,A,UIS: EDUNF_ESL_L1,0,A
