Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,1999,51.16284,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2000,51.07634,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2001,52.30369,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2004,49.99747,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2006,49.71217,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2007,50.29067,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2008,49.95065,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2009,51.23217,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2010,49.45007,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2011,49.14141,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2012,49.55264,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2013,50.40381,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2014,50.60197,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2015,51.84790,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2016,52.99570,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2017,53.09282,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2018,53.23507,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2000,55.99193,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2001,56.00021,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2002,54.77211,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2003,53.47416,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2004,52.18578,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2005,52.25188,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2006,51.97827,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2007,52.41104,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2008,52.70507,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2009,51.10317,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2010,51.22025,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2011,51.85414,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2013,52.18192,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2014,51.91413,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2015,51.66601,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2018,50.74537,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,1998,52.44467,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,1999,50.15196,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2000,49.91548,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2001,47.94285,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2002,48.80656,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2003,48.60548,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2004,47.76446,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2005,47.95644,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2006,47.48245,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2007,47.55942,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2008,47.69636,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2009,47.20000,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_GEN,F,_T,_T,_T,2010,46.24193,PCNT,,A,UIS: EDUNF_FEP_L3_GEN,0,A
