Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,1999,47.97819,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2000,48.29246,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2001,49.05762,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2004,47.23024,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2005,46.97433,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2006,47.44003,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2007,47.84006,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2008,47.53002,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2009,48.60056,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2010,46.81886,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2011,46.21738,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2012,46.10598,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2013,45.90643,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_T,F,_T,_T,_T,2014,45.61167,PCNT,,A,UIS: EDUNF_FEP_L3_T,0,A
