Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,1998,28.34190,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,1999,29.66365,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2000,30.92890,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2001,30.31671,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2002,31.38145,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2003,30.80183,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2004,33.59274,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2006,36.92776,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2007,36.20775,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2008,35.45461,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2009,35.09558,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2010,30.95071,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2011,25.66187,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2012,22.20542,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2013,21.80912,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2014,22.18433,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2015,16.25806,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2016,15.95874,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2017,15.42824,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2018,15.60301,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2000,16.52261,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2007,37.13888,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2008,38.15571,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2009,37.66544,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2010,36.65118,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2011,40.26963,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2013,41.35397,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2014,42.78199,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2015,42.23725,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2018,41.73613,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2018,50.12666,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2007,45.29495,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2008,44.96288,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2009,44.91105,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2010,44.92799,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2011,44.89563,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2012,44.83278,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2013,44.70979,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2014,44.91723,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2015,45.39246,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2016,45.66547,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2017,46.10379,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2018,46.05899,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,1998,37.32869,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,1999,37.23382,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2000,37.40675,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2001,38.40435,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2002,39.01525,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2003,38.84448,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2004,38.26992,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2005,38.09472,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2006,38.14643,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2007,38.11659,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2008,38.62868,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2009,38.87422,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2010,39.14425,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2011,38.79833,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2012,39.17899,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2013,39.80586,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2014,41.67570,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2015,40.70292,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2016,40.27567,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2017,40.47934,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2010,37.82101,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2011,37.40650,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2012,36.90863,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2013,36.74496,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2014,37.38259,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_FEP_L3_VOC,F,_T,_T,_T,2015,37.38923,PCNT,,A,UIS: EDUNF_FEP_L3_VOC,0,A
