Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1971,32.49048,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1972,32.38454,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1978,44.35522,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1981,49.56755,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1983,47.71429,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1984,46.41586,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1985,45.00822,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1986,45.44215,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1987,47.51149,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1988,49.38614,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1989,50.26388,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1990,51.26329,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1991,51.34554,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1992,51.90886,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FEP_L5T8,F,_T,_T,_T,1993,50.64558,PCNT,,A,UIS: EDUNF_FEP_L5T8,0,A
