Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,1996,35.02260,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2000,39.91740,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2001,41.34797,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2003,40.87140,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2004,38.31133,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2007,32.69841,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2008,37.31656,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2009,37.89799,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2010,39.91732,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2011,39.39394,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2012,39.55043,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2013,39.16273,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2014,39.16376,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2015,38.19444,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2016,38.42795,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2017,38.81335,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_FRP_L1,F,_T,_T,_T,2018,38.50932,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2002,36.61202,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2003,38.73239,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2004,44.04762,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2005,46.15385,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2006,59.91189,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2007,47.72727,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2008,52.80000,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2009,43.96887,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2010,48.12500,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2011,45.88235,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2012,50,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2014,48.79725,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2015,57.14286,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2016,52.83381,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2017,52.29592,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_FRP_L1,F,_T,_T,_T,2018,53.46062,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1993,48.42829,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1994,47.85209,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1995,50.56959,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1996,50.81633,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1997,47.06433,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1998,48.50280,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_FRP_L1,F,_T,_T,_T,1999,48.69024,PCNT,,A,UIS: EDUNF_FRP_L1,0,A
