Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,1998,40.52646,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,1999,42.31086,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2000,44.13253,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2001,45.23442,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2002,44.79487,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2003,48.33761,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2004,49.66252,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2005,51.28998,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2006,53.76874,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2007,54.83866,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2008,58.60956,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2009,61.71825,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2010,65.03855,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2011,70.00330,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2012,77.32688,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2013,48.84838,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2014,49.26092,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2015,50.32700,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2016,50.59460,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2017,47.76904,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GECER_L02,_T,_T,_T,_T,2018,46.97922,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,1998,28.92230,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,1999,26.25673,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2000,26.31642,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2001,24.86084,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2002,25.72026,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2003,28.25854,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2004,31.30010,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2005,32.09145,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2006,35.06798,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2007,34.65986,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2008,35.79373,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2009,37.09371,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2010,36.99861,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2011,51.96393,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GECER_L02,_T,_T,_T,_T,2012,54.94859,PCNT,,A,UIS: EDUNF_GECER_L02,0,A
