Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,1999,8.94310,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2000,8.81284,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2001,9.10187,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2003,8.30644,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2004,7.25454,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2008,8.71799,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2009,7.57410,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2010,7.45200,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2011,7.80146,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2012,7.82931,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2013,7.87014,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2014,6.83256,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2015,7.32527,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2016,6.90235,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2017,6.57515,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2018,7.04101,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2002,2.81910,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2003,2.57534,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2005,2.72865,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2006,2.07150,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2007,1.74622,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2011,3.32200,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2012,2.50598,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2013,3.44690,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2014,3.09866,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2015,2.30823,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2016,2.27827,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2017,2.13728,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2018,1.99252,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,1998,4.15143,PCNT,,A,UIS: EDUNF_GER_L1,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,1999,3.33903,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2000,8.96787,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2001,12.32670,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2002,12.35415,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2003,11.90746,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2004,11.93577,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2005,10.57108,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2006,9.88179,PCNT,,A,UIS: EDUNF_GER_L1,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L1,_T,OVER_AGE,_T,_T,2007,10.14608,PCNT,,A,UIS: EDUNF_GER_L1,0,E
