Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,1998,102.66405,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,1999,101.44242,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2000,99.82951,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2001,99.95696,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2002,98.12012,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2003,98.70665,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2004,96.28808,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2005,98.47626,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2006,96.86462,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2007,96.47509,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2008,96.11920,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2009,93.85872,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2010,93.85118,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2011,93.47100,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2012,95.61914,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2013,98.59662,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2014,100.92285,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2015,102.60256,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2016,101.77899,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L1_2,_T,SCH_AGE_GROUP,_T,_T,2017,101.66897,PCNT,,A,UIS: EDUNF_GER_L1_2,0,A
