Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,1998,41.66275,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,1999,42.78833,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2000,43.47390,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2001,45.12986,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2002,48.79384,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2003,51.82918,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2004,54.67914,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2005,59.46577,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2006,62.86989,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_T,_T,SCH_AGE_GROUP,_T,_T,2007,68.27743,PCNT,,A,UIS: EDUNF_GER_L3_T,0,A
